pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
50,c,2,2,10,2,,,,,42.46201189997373,43.46221619998687,43.46221619998687,43.46221619998687,43.46221619998687,43.46221619998687,44.461867499980144,44.461867499980144,c,1,2.748688499996206,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,2,3,11,3,,,,,47.22819929997786,48.228281099989545,48.228281099989545,48.228281099989545,48.228281099989545,48.228281099989545,49.22800819997792,49.22800819997792,z,1,0.8320981999859214,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,3,0,12,0,,,,,50.07784199999878,51.077949899976375,51.077949899976375,51.077949899976375,51.077949899976375,51.077949899976375,52.07749579998199,52.07749579998199,x,1,0.7369531000149436,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,3,1,13,1,,,,,52.84421159999329,53.84415629997966,53.84415629997966,53.84415629997966,53.84415629997966,53.84415629997966,54.84375010000076,54.84375010000076,c,0,0.8492059999844059,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,3,2,14,2,,,,,55.71045039998717,56.71041329999571,56.71041329999571,56.71041329999571,56.71041329999571,56.71041329999571,57.7101625999785,57.7101625999785,c,1,0.7034430999774486,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,3,3,15,3,,,,,58.44338620000053,59.44346469998709,59.44346469998709,59.44346469998709,59.44346469998709,59.44346469998709,60.44307049998315,60.44307049998315,z,1,0.7739185999962501,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,4,0,16,0,,,,,61.2431452999881,62.24306589999469,62.24306589999469,62.24306589999469,62.24306589999469,62.24306589999469,63.242834499978926,63.242834499978926,x,1,0.8691223000059836,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,4,1,17,1,,,,,64.14253399998415,65.14270079997368,65.14270079997368,65.14270079997368,65.14270079997368,65.14270079997368,66.1423418999766,66.1423418999766,v,1,1.3320764000236522,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,4,2,18,2,,,,,67.49214229997597,68.49245059999521,68.49245059999521,68.49245059999521,68.49245059999521,68.49245059999521,69.49209499999415,69.49209499999415,c,1,0.9645090000121854,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,4,3,19,3,,,,,70.47513539998909,71.47545119997812,71.47545119997812,71.47545119997812,71.47545119997812,71.47545119997812,72.47501159997773,72.47501159997773,z,1,0.8591081000049599,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-50,x,5,0,20,0,,,,,73.3581739999936,74.3579832999967,74.3579832999967,74.3579832999967,74.3579832999967,74.3579832999967,75.35798000000068,75.35798000000068,x,1,0.8454100000089966,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
150,v,5,1,21,1,,,,,76.22438949998468,77.22452119999798,77.22452119999798,77.22452119999798,77.22452119999798,77.22452119999798,78.2241389999981,78.2241389999981,v,1,1.077902399993036,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
50,c,5,2,22,2,,,,,79.32400669998606,80.32407549998607,80.32407549998607,80.32407549998607,80.32407549998607,80.32407549998607,81.32384199998342,81.32384199998342,c,1,2.089837900013663,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
-150,z,5,3,23,3,,,,,83.44021359999897,84.44030589997419,84.44030589997419,84.44030589997419,84.44030589997419,84.44030589997419,85.43986620000214,85.43986620000214,z,1,1.1364406000066083,184249,001,2022-10-05_09h38.16.027,experiment 4,2022.2.2,59.966850331018264,
